time "0 (ground state)" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48
10.0 3.552512397771656e-32 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
11.0 1.1389466957235254e-32 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
12.0 1.3994723087425195e-32 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
13.0 8.10935798086247e-33 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
14.0 1.4583647838757874e-32 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
15.0 4.189163531891238e-34 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
16.0 1.8851090124804694e-32 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
17.0 9.379657410379178e-32 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
18.0 1.3007253439771812e-31 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
19.0 5.088034670462645e-33 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
20.0 1.1122278938869174e-32 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
21.0 4.945040189470713e-31 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
22.0 2.0109321950476602e-32 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
23.0 1.8924246661906807e-31 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
